#Denici�n de par�metros:

#Datos de demanda
param: dda:=
	0	0
	1	100
	2	200
	3	300
	4	90
	5	100
	6	500
	7	1000
	8	500
	9	150
	10	200
	11	300
	12	100;

#Datos de capacidad
param: cap:=
	0	0
	1	200
	2	300
	3	500
	4	900
	5	100
	6	100
	7	500
	8	500
	9	100
	10	100
	11	500
	12	100;

#Datos de costos de producci�n
param: c:=
	0	0
	1	20
	2	30
	3	40
	4	50
	5	60
	6	70
	7	80
	8	100
	9	100
	10	100
	11	80
	12	50;

#Costos de inventario
param: s:=
	0	0
	1	10
	2	20
	3	20
	4	5
	5	30
	6	40
	7	40
	8	10
	9	10
	10	40
	11	40
	12	50;

#Costos fijos
param: f:=
	0	0
	1	500
	2	400
	3	300
	4	300
	5	200
	6	200
	7	200
	8	100
	9	100
	10	150
	11	200
	12	250;
